id,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
86,0.5706331109,0.4554836548,0,60.4255926615,3,1,5,1,0,2,0,13,27,1
87,0.0880601242,0.5096261102,0,62.451410224,2,3,1,3,3,2,0,39,15,1
88,0.445529314,0.255053744,1,65.0091883255,1,1,2,2,3,?,1,30,70,0
89,0.5284296044,0.7536102328,0,68.6898992878,2,-1,5,5,2,2,1,42,12,1
90,0.3499195321,0.3457758027,?,64.8973773381,1,2,3,4,3,3,0,69,79,0
91,?,0.1739380482,?,60.162677954,2,2,2,4,2,3,0,57,62,0
92,0.5422979427,0.6337935574,0,69.8893052922,2,1,4,4,1,2,0,65,58,1
93,0.2825670803,0.4599873517,-1,70.1685924693,-1,4,1,1,2,3,1,48,21,1
94,0.6237903152,0.5713872072,1,61.7998249607,2,2,5,4,2,3,0,44,52,1
95,0.0235676582,0.7448968301,-1,58.4188848594,0,3,3,5,2,2,1,43,89,0
96,0.2357814325,0.528287077,0,62.1186282523,2,4,3,2,4,4,1,?,37,1
97,0.8110679094,0.5771867996,0,72.1663716709,1,2,2,3,3,3,0,95,-2,?
98,0.6302304127,0.1114041273,0,63.9170875266,1,4,1,?,1,2,1,52,19,0
99,0.2569328061,0.6497188129,0,66.2693777109,1,1,4,4,1,3,1,34,?,1
100,0.7028343744,0.5538558701,1,64.1670073836,2,3,2,3,3,3,1,51,45,0
101,0.8521782728,0.608094971,0,75.0081526936,1,4,1,1,2,1,1,61,44,0
102,0.4205882866,0.5655316385,1,63.3115570713,0,1,1,5,2,2,1,33,17,1
103,0.3147923436,0.5519012109,-1,51.8372686503,2,2,5,2,1,1,0,43,41,1
104,0.4289283002,0.5161199388,1,72.1377482387,?,2,5,3,4,3,0,93,?,0
105,0.7305119934,0.8685746347,1,64.506398028,2,0,2,3,3,2,0,17,47,1
106,0.7807289009,0.2261521603,-1,72.3234312518,2,0,3,5,2,1,0,21,28,0
107,0.6198109201,0.3184965971,?,59.1645925039,1,2,5,5,3,2,0,38,84,0
108,?,0.4374096612,?,60.9478714098,2,1,1,3,4,2,1,22,58,1
109,0.6655914158,0.3845954867,0,69.2490849129,1,1,4,4,5,3,1,72,42,1
110,0.6628388926,0.2892649613,-1,76.1291147684,2,1,3,2,1,2,0,54,53,1
111,0.5598499119,0.4039952638,1,67.6475453015,0,2,3,2,2,2,0,34,80,0
112,0.4070931829,0.8286538163,0,66.9596141318,2,2,2,3,5,3,0,59,98,1
113,0.4113058339,0.2317545609,1,69.2432461919,2,1,5,3,3,4,1,16,41,0
114,0.2782974325,0.5464304272,-1,70.0452411463,2,0,4,4,2,2,0,?,75,1
115,0.599838652,0.4270405261,1,58.8546789991,?,1,2,2,1,2,1,45,25,?
116,0.62115975,0.7869995277,1,74.4232258546,2,2,1,2,1,3,1,53,65,1
117,0.4644199339,0.5763182957,1,?,0,3,2,3,1,2,0,73,64,0
118,0.4196631776,0.0574998269,?,68.8756274019,2,1,1,2,2,2,0,47,70,0
119,0.231525365,0.4194527216,0,71.1072339494,2,4,2,4,2,1,1,92,116,0
120,0.630130164,0.4427612561,0,61.7149701081,1,1,1,1,1,3,0,67,66,1
121,0.5824462602,0.6748678384,-1,68.8279805094,1,3,4,1,2,2,?,83,59,0
122,0.4533144277,0.6858133155,1,71.3586993594,2,1,2,1,3,?,0,-4,73,0
123,0.8029863133,0.4435687832,0,73.6446259968,2,0,1,5,3,2,1,35,60,1
124,0.593467787,0.6927755259,1,69.502238953,1,1,5,1,4,3,0,55,44,1
125,0.6451292957,0.7755803417,1,65.6644677626,3,2,5,4,?,3,1,33,38,1
126,0.4018877201,0.3865836543,1,63.9299444544,0,1,5,2,0,3,1,47,49,0
127,0.9274356146,0.3703849755,1,67.8590064594,1,1,5,5,4,2,0,78,44,1
128,0.6228857269,0.5650846424,1,67.4848977974,2,2,3,2,3,4,0,32,52,1
129,0.9838741241,0.6953509787,0,74.1720500688,3,4,2,1,1,4,1,28,27,0
130,0.5843035618,0.8417617358,-1,57.3643351468,1,1,4,2,2,3,1,73,77,1
131,0.6663353208,0.6392248805,0,64.7946533294,2,-1,5,1,1,2,0,45,?,1
132,0.3225537318,?,1,80.2259681743,0,2,2,3,1,3,1,34,67,0
133,0.5868960786,0.5644317485,-1,51.2816572308,1,2,2,2,2,3,0,42,72,0
134,0.5932344743,0.2851472256,0,50.6777419957,1,4,3,?,3,1,0,61,51,0
135,1.0039494756,0.3559396763,?,69.9450525524,3,2,2,5,4,3,0,23,43,0
136,0.1959682811,0.5953131496,1,?,2,0,2,5,3,3,1,56,?,1
137,0.7714309309,?,0,?,0,3,2,5,2,5,1,34,22,0
138,0.459749242,0.228903173,1,67.5912405375,2,1,1,5,3,2,1,33,52,1
139,0.8425479662,0.5046984426,0,63.0904745549,3,1,3,5,3,4,0,34,51,1
140,0.486980125,0.3739760968,-1,?,2,2,4,3,2,3,1,48,45,1
141,0.5506361368,1.158951938,0,69.5153526895,1,2,2,2,4,2,0,19,?,0
142,0.2945892849,0.5086621683,0,61.0550079307,3,2,2,5,3,4,1,50,62,1
143,0.2664438572,0.4634336434,?,61.9556145206,1,0,2,5,2,3,?,58,65,1
144,0.5549001157,0.7051467227,1,62.9204756088,0,3,1,2,3,2,1,52,39,0
145,0.4620431443,0.7467811768,1,70.986469088,4,?,1,3,2,3,0,85,50,1
146,0.3670075801,0.4356767275,1,68.778180472,2,0,3,2,3,2,1,54,54,1
147,0.3978780396,0.5397835837,1,55.0072753189,2,?,4,2,2,4,1,52,42,1
148,?,0.4936262574,1,56.7158328275,1,1,1,?,3,3,0,55,92,1
149,0.7490896246,0.7704341111,1,?,0,1,5,3,3,3,0,55,40,0
150,0.5944660712,0.1992354401,1,47.5857400513,2,1,1,?,4,3,1,38,43,0
151,0.5608831586,0.7088821591,0,65.5372327615,2,1,5,1,3,2,1,42,73,1
152,0.7189163067,0.8734583909,-1,?,2,0,?,4,3,1,0,85,53,1
153,0.7945653254,0.6009031619,1,54.8777218537,1,2,1,1,1,3,1,85,52,?
154,0.4428932894,0.3477124139,0,57.0158083903,2,1,2,1,2,2,0,57,53,?
155,0.3282467607,0.6794101042,0,61.9894104977,1,0,?,4,1,2,1,59,73,1
156,0.5659367539,0.4587367424,0,65.9133023985,3,1,3,3,3,?,0,42,61,1
157,0.3476613089,0.3598501611,1,75.5101756942,3,?,2,3,3,?,0,61,25,1
158,?,0.559678612,0,69.2541015099,0,1,1,2,3,2,1,58,56,0
159,0.5303852086,0.3884528642,0,60.806285736,0,-1,3,3,4,3,0,27,47,1
160,0.2614643193,-0.0201577386,0,55.689589021,1,1,3,4,1,3,?,55,15,1
161,0.5586497011,0.5532910115,1,62.3436144423,2,4,2,5,2,1,1,11,25,0
162,0.8553875857,0.549443902,1,61.5611739436,3,?,?,?,3,3,0,53,?,1
163,0.530892037,0.4499119676,0,65.3511609218,0,3,3,1,3,3,1,73,57,?
164,0.4454833734,?,1,71.817255559,0,1,4,2,4,3,1,34,39,0
165,0.6773728026,0.4000145732,-1,77.159017343,2,2,3,2,3,2,1,66,58,1
166,0.5744385215,0.6674794014,0,70.1355145806,2,0,2,5,2,2,0,79,93,1
167,0.4778665886,0.90406021,0,62.3960020046,2,1,5,1,4,2,0,49,62,1
168,0.6313955031,?,0,64.4007051791,2,3,3,1,2,3,1,55,65,0
169,0.7031886352,0.2112039796,1,74.0947242011,3,2,2,4,4,2,1,38,68,0
170,0.5649907536,0.5304268177,?,69.0981151714,3,1,1,5,2,1,1,?,65,1
171,0.2860392375,0.3183439237,?,51.3378379892,1,2,4,4,3,1,0,45,49,0
172,0.18586153,0.6327018632,-1,64.3255776713,4,2,1,4,1,?,1,32,41,1
173,0.5018387486,0.2487144529,-1,66.3765438971,2,2,3,4,2,1,1,46,51,1
174,0.3602593443,0.6738171426,1,74.6726218808,2,1,4,1,3,4,1,26,26,1
175,0.5066812414,0.8240877075,0,?,1,0,?,3,3,3,1,61,45,1
176,0.0939974498,0.5976800412,-1,71.6773674643,1,1,5,3,2,2,0,41,89,1
177,0.6330953725,0.4855873555,0,64.9511695237,0,2,1,1,?,2,?,43,52,0
178,0.2290229653,0.5918939099,-1,?,1,1,2,3,?,3,0,-14,?,0
179,0.3478019984,0.2735573465,-1,75.7366403482,1,1,?,5,?,1,0,67,43,1
180,0.7360490872,0.600162331,0,62.3210596452,0,?,4,5,3,2,1,37,65,0
181,0.3248872707,0.2594291217,-1,70.9144823563,1,1,2,2,1,2,1,60,59,1
182,0.2283698912,0.5762910994,1,64.7852959441,?,0,3,4,3,?,0,27,64,1
183,0.5000458763,0.5311045956,?,64.1097781525,3,1,5,3,4,3,0,48,43,1
184,0.3390535128,?,?,78.3291581736,1,2,3,2,3,2,0,66,45,0
185,0.5566290514,0.1100019881,0,56.629280193,3,3,2,5,4,2,0,38,41,0
186,0.4499609594,0.5812506797,0,78.5902545013,1,1,5,3,?,2,0,34,71,1
187,0.7845110035,0.0767209721,0,56.2010082047,1,2,5,1,3,?,0,45,58,0
188,0.5591778974,0.3836744331,0,59.4066947902,2,?,3,3,3,2,0,74,22,1
189,0.6344510586,0.4483363337,-1,57.6953712221,3,1,1,4,3,1,1,59,46,1
190,0.4872107317,0.3748501921,0,63.455115922,0,3,3,3,3,3,1,70,36,0
191,0.3401344538,0.2289092527,1,65.931349727,1,1,5,4,3,2,1,?,15,1
192,0.4968893282,0.6799338433,0,50.2266773042,?,1,4,1,4,3,1,45,48,1
193,0.4348307288,0.9422823132,-1,75.1172737264,1,1,4,5,2,2,0,40,63,1
194,0.3200156975,0.6297831648,-1,69.3349643498,2,1,1,3,2,2,0,34,?,1
195,0.1771090092,0.7419996613,1,?,4,2,2,2,3,2,0,14,6,1
196,0.8006557543,0.3712796398,-1,74.3904195312,2,0,2,2,4,3,1,83,7,1
197,0.6129700958,1.036970603,0,60.6590610331,1,2,2,5,1,1,0,34,33,?
198,0.4729169493,0.8328064721,0,62.1314107189,1,2,2,3,2,1,0,6,23,0
199,0.3868431087,0.5913380684,1,73.2040327988,3,1,3,2,4,2,1,34,59,1
200,0.3493099209,0.5448752634,0,64.0134580708,1,2,1,4,3,3,0,79,29,1
201,0.3776596254,?,1,69.9571421819,0,1,1,5,1,4,0,67,55,0
202,0.70693042,0.3646495559,-1,59.9277925795,1,4,2,5,1,3,0,73,8,1
203,0.5659352319,0.4816105639,1,70.2486881272,0,0,4,5,2,5,1,32,36,1
204,0.5840533155,0.0629622025,?,61.6386188299,3,3,3,1,2,2,0,52,57,0
205,0.6319192306,0.6389507011,1,60.669659264,3,1,5,1,3,2,1,59,75,?
206,0.5189400989,0.3833470677,0,72.1722917104,1,1,3,1,?,3,0,?,54,1
207,0.6850029282,0.5324467524,1,69.9032173614,2,1,4,3,2,3,1,52,19,1
208,0.5848710661,?,-1,55.6580753593,0,1,2,2,2,2,0,39,91,0
209,0.7058477943,0.3279534457,1,46.8478472652,2,2,4,3,4,1,0,77,36,1
210,0.3608103999,0.5613573682,0,62.9588546214,1,-1,1,1,3,1,0,56,85,1
211,0.537213339,?,0,54.0188545375,1,1,5,1,2,3,1,44,64,1
212,0.6654583961,0.4326142916,1,64.2110182539,3,0,5,2,4,3,1,65,27,?
213,0.5901112814,0.3918786119,-1,57.3409856238,1,1,5,1,4,2,1,76,52,?
214,0.4260241687,0.5379712428,-1,60.1263703844,1,2,1,1,?,2,1,52,4,1
215,0.6266402361,0.6355643147,1,74.990998819,2,1,4,1,1,3,1,39,28,1
216,0.8647295378,0.6567466718,-1,60.2136841025,1,-1,1,5,3,3,1,56,51,1
217,0.6152564252,0.4177673127,1,71.1051336454,2,?,3,2,1,1,1,59,62,0
218,?,0.5666488052,1,60.5991102149,0,2,3,2,2,1,1,57,41,0
219,0.6948802109,0.2782172144,0,61.2041666081,4,1,3,5,2,3,0,39,59,0
220,0.3748049256,0.4710450132,0,54.3595216286,2,2,4,4,1,2,1,40,46,1
221,0.5421860544,0.4736883824,-1,61.7500270577,1,1,5,3,3,3,1,46,18,1
222,0.4050707112,0.0235841501,?,72.1856083184,2,1,5,5,1,2,1,?,49,?
223,0.4746507074,0.5157338264,0,?,2,0,1,5,3,2,0,67,40,1
224,0.3842363249,0.9103049554,1,56.0516524974,?,2,3,3,1,3,0,18,62,1
225,0.4331980231,0.3973895619,0,70.9088896957,2,0,5,4,1,3,0,69,67,1
226,0.5629953928,0.4394716842,?,55.9112904619,2,1,2,1,2,2,1,59,27,1
227,0.9252012218,0.2360441541,0,54.2331293458,2,1,1,1,6,2,?,51,71,0
228,0.8442948215,0.3446349688,1,61.5160232832,0,2,3,4,2,2,0,64,33,0
229,0.8075778252,0.2351530893,0,69.278808493,2,3,2,4,3,3,1,62,63,0
230,0.4398131396,0.4814312607,0,61.8993163562,1,2,4,4,3,3,1,24,63,0
231,0.2537711157,0.6762997536,1,61.8779415536,2,2,2,5,1,3,1,93,77,1
232,0.6726714384,0.2855096222,-1,55.34003237,?,2,5,1,3,2,0,50,61,0
233,0.4979277899,0.3841734385,1,60.7382509033,0,0,3,3,1,3,1,64,59,1
234,0.852107764,-0.083184167,1,60.1976001198,0,?,1,3,2,2,0,53,71,1
235,?,0.5572954179,0,58.7908374475,?,3,4,5,1,3,0,?,52,0
236,0.3033283484,0.6496676087,?,83.3525126137,3,3,5,2,3,3,0,45,50,?
237,0.5695242732,0.6019283914,0,44.7218919092,?,3,1,?,3,1,1,42,49,0
238,0.4825860028,0.5137438602,-1,62.6816420388,3,2,1,4,3,3,0,29,71,1
239,0.1350324905,0.3607561369,0,56.0792510389,3,3,4,3,4,1,1,73,47,1
240,?,0.6000346777,-1,65.4031003839,1,2,5,4,2,?,0,?,52,0
241,0.7131625658,0.6768190657,0,63.5340737994,3,2,4,1,3,3,1,29,20,1
242,0.5973525498,0.6056113673,-1,64.3854442995,1,2,1,5,4,2,0,59,77,0
243,0.6855498347,0.345223137,0,56.8153223854,4,1,3,3,3,2,0,59,24,1
244,0.3831277537,0.4876648918,-1,?,?,1,1,3,?,4,1,90,85,1
245,0.6544144784,0.4783776247,1,69.6371029196,1,0,5,2,3,1,0,84,32,1
246,0.2598417902,0.4170062096,0,67.5307406378,2,3,3,1,0,3,0,4,58,0
247,0.5329500282,0.6514416883,1,54.0572632673,3,0,4,3,3,2,1,70,66,1
248,0.5505270642,0.5913503064,-1,67.202197085,2,2,4,5,1,3,1,30,38,1
249,0.7894318307,0.3466983988,-1,63.3140391594,1,2,3,5,3,3,1,62,30,0
250,0.4998587774,0.3454070469,0,55.0837019028,1,2,3,5,2,3,?,66,85,0
251,0.559903926,0.2400864604,0,69.0956173748,1,2,4,5,3,2,1,59,11,1
252,0.7271613755,0.5737246561,-1,77.2228069249,-1,?,3,1,3,2,0,23,74,0
253,0.2732130878,0.5526167068,0,67.626440459,1,2,1,4,4,4,0,33,58,0
254,0.4515588159,0.4294923742,?,64.0802811908,2,3,2,3,2,3,1,57,35,0
255,0.3597269733,0.4895982734,0,71.2945123434,3,2,2,4,1,1,0,44,55,1
256,0.7171482292,0.7661907161,0,61.2703537957,1,0,2,3,?,2,1,43,69,1
257,0.234977329,0.4520310682,0,68.4648938612,3,2,4,3,3,2,1,39,49,1
258,0.1620471045,0.5593619378,1,64.9664893298,1,0,4,3,2,3,0,44,17,1
259,0.7462684297,0.5604702511,0,57.4060810384,1,1,4,3,1,2,1,42,19,1
260,0.3735734786,0.4789440727,0,63.217425108,?,1,1,3,?,3,?,38,34,1
261,0.3583682121,0.608381105,1,67.0199395719,3,0,5,2,2,?,1,48,27,1
262,0.4291425965,0.5654288406,1,73.3692734083,3,2,3,1,2,3,0,58,87,1
263,0.4247691953,0.4543916829,-1,57.5908610893,1,?,2,1,3,0,0,21,72,1
264,0.8159992852,0.290995966,-1,67.1446648803,2,2,5,2,3,3,0,33,78,0
265,0.7698757009,?,1,75.0483187408,1,1,5,1,?,1,1,61,73,1
266,?,0.0495631267,1,72.3465732719,1,1,2,1,3,2,0,55,?,0
267,0.8462287084,0.4134869756,1,67.2622065242,1,1,5,4,3,1,1,40,65,0
268,0.4164329797,0.577855364,0,65.6726920717,0,1,4,1,3,2,1,43,53,0
269,0.3950278358,0.3170229084,0,?,1,1,2,3,3,2,0,51,?,1
270,0.4416480701,0.2074387124,-1,71.9387896585,2,2,1,1,3,5,1,54,40,1
271,0.3593150499,0.6263276675,0,54.4384995578,2,1,2,1,2,2,0,25,?,1
272,0.2426115108,0.7118339041,1,69.214402281,2,1,2,2,5,1,0,62,43,1
273,0.3488032826,0.7619194081,1,70.6959231227,1,2,?,5,2,2,1,?,62,0
274,?,0.115515527,-1,67.5970375729,1,2,1,3,4,3,0,67,60,0
275,0.5441360806,0.6816254649,-1,72.8253223393,1,1,1,3,3,4,?,35,33,1
276,0.5315372857,?,0,69.8177241854,1,3,1,2,?,3,1,65,31,?
277,0.7124388719,?,-1,66.354273029,2,0,1,4,3,4,0,27,26,1
278,0.4611987906,0.509540643,0,71.7204122097,2,2,5,4,3,2,1,74,61,1
279,0.3691934158,0.5245136481,1,66.4624572868,2,2,1,2,3,2,0,54,54,1
280,0.4475781533,0.6371786769,0,76.6360067114,1,1,3,2,5,4,?,50,59,1
281,0.2886085245,0.4546871041,1,78.2707719507,0,4,4,4,3,?,0,39,55,?
282,0.4715544469,0.6979367104,?,49.6668701991,2,2,2,4,3,4,1,45,54,1
283,0.3567872736,0.5452286467,1,59.5134359246,1,1,5,2,2,2,1,27,28,1
284,0.4613508151,0.5692269736,-1,73.8859037211,2,1,1,3,3,3,1,16,5,1
285,0.4861833951,0.5845255742,0,61.4254115468,1,2,2,5,3,4,1,75,32,1
286,0.6097506896,0.4491688008,1,82.1218537677,1,?,5,1,2,2,0,88,52,0
287,0.5169519028,0.5319347815,0,64.6580620305,3,1,4,3,2,1,1,70,77,?
288,0.5415425068,0.5040472658,1,64.9136935486,3,0,2,2,0,3,0,24,43,1
289,0.4942941709,0.7768330297,1,69.0953183843,0,0,1,3,2,4,0,73,62,1
290,0.2886730536,0.2703689442,1,68.6140633086,1,2,4,2,2,2,1,22,33,0
291,0.4583797964,0.7344658211,?,63.9197940064,-1,1,2,3,3,2,0,32,49,0
292,0.4722794833,0.6570303901,1,78.2307233317,2,-1,5,3,2,3,1,32,66,?
293,0.574841958,0.5309911658,0,59.8490147619,2,2,5,?,2,3,0,37,12,1
294,0.4193292426,?,?,62.1431860468,1,2,5,2,2,1,0,32,37,0
295,0.0843243198,0.7496062165,1,78.0487147586,1,2,3,3,2,1,1,58,69,0
296,0.3718972703,0.6687054133,0,72.0901147346,3,2,4,2,3,1,0,43,60,1
297,0.7305816078,0.2873482657,1,82.5483811481,2,2,4,3,2,3,1,67,49,1
298,0.4797524583,0.5551886233,0,58.7995813006,3,0,3,5,4,2,1,41,55,1
299,0.5419262592,0.1748545842,-1,64.9911595388,0,3,5,1,1,3,1,70,52,0
300,0.2866831487,0.2081658441,1,67.7768199418,1,1,4,1,4,2,0,53,50,1
301,0.3884648045,0.1987643818,0,75.3841732274,2,3,4,3,4,3,1,34,7,1
302,0.8167509963,?,1,74.3642045409,2,2,5,2,2,3,1,40,27,1
303,0.6136368172,0.5589320082,-1,64.1786178721,3,0,2,4,3,2,?,27,44,1
304,0.7898965211,0.5640276647,0,68.0342294468,1,3,5,1,2,5,1,?,74,0
305,0.2613589324,0.7311627929,-1,62.5678911156,2,0,5,4,3,4,0,46,69,1
306,?,0.3819778835,0,67.0289289371,3,3,2,?,3,4,0,51,60,1
307,0.5326984374,0.5338296316,0,54.1758294853,-1,4,2,3,1,2,1,21,50,0
308,0.8708227707,0.3103952412,-1,67.408221784,2,1,1,3,1,3,1,65,70,0
309,0.700366408,0.3518524524,0,54.1872694568,2,2,1,1,1,2,1,46,57,0
310,0.3919221317,0.6356612184,-1,61.3549198135,2,0,1,3,1,1,1,52,46,1
311,0.4285613076,0.6279259641,0,70.6445332466,1,0,4,5,2,2,1,46,56,1
312,0.5572104461,0.3135294397,-1,54.8425919274,0,2,2,4,3,2,1,32,31,0
